date,hospital,event_type,records_affected,severity,status
2026-06-26,GulfStar Community,Excess Access,140,Moderate,Closed
2025-06-26,GulfStar Medical Center,Excess Access,84,Low,Closed
2025-04-01,GulfStar Medical Center,Excess Access,136,Low,Remediation Open
2025-03-20,GulfStar Community,Third-Party Risk,65,Moderate,Closed
2025-04-02,GulfStar Community,Excess Access,299,Low,Closed
2026-03-15,GulfStar Medical Center,Minimum Necessary,179,Moderate,Closed
2025-04-15,GulfStar Community,Unencrypted Device,77,Low,Closed
2025-12-10,GulfStar Medical Center,Unencrypted Device,101,Moderate,Monitoring
2025-08-12,GulfStar Medical Center,Third-Party Risk,170,Low,Monitoring
2025-06-22,GulfStar Medical Center,Unencrypted Device,313,Low,Closed
2025-12-29,GulfStar Community,Excess Access,109,Moderate,Closed
2026-07-18,GulfStar Medical Center,Misdirected Communication,211,Low,Closed
2026-01-26,GulfStar Community,Minimum Necessary,252,Moderate,Closed
2025-02-14,GulfStar Medical Center,Excess Access,150,Low,Closed
2025-06-01,GulfStar North,Excess Access,266,Low,Closed
2025-10-26,GulfStar North,Third-Party Risk,54,Low,Closed
2025-06-06,GulfStar Medical Center,Excess Access,31,High,Closed
2025-12-01,GulfStar North,Misdirected Communication,101,Moderate,Monitoring
2025-02-20,GulfStar Medical Center,Excess Access,45,Low,Closed
2026-01-08,GulfStar Medical Center,Excess Access,274,Moderate,Closed
2025-05-28,GulfStar Medical Center,Misdirected Communication,179,Low,Remediation Open
2026-05-29,GulfStar North,Excess Access,119,Moderate,Monitoring
2026-01-30,GulfStar Community,Unencrypted Device,276,Low,Closed
2025-11-17,GulfStar Community,Misdirected Communication,226,Low,Monitoring
2025-03-31,GulfStar Community,Excess Access,74,Moderate,Remediation Open
2025-09-16,GulfStar Medical Center,Excess Access,109,Low,Closed
2025-01-28,GulfStar North,Misdirected Communication,24,Moderate,Closed
2026-01-22,GulfStar Medical Center,Minimum Necessary,205,Low,Closed
2026-02-05,GulfStar Medical Center,Excess Access,308,Low,Closed
2025-03-21,GulfStar Medical Center,Misdirected Communication,291,Low,Closed
2025-10-25,GulfStar Community,Excess Access,301,Low,Monitoring
2025-05-12,GulfStar Community,Unencrypted Device,42,Low,Closed
2025-12-19,GulfStar North,Misdirected Communication,80,Moderate,Closed
2025-04-24,GulfStar North,Excess Access,124,Low,Remediation Open
2025-01-10,GulfStar Medical Center,Excess Access,197,Low,Closed
2026-06-12,GulfStar North,Minimum Necessary,136,Low,Closed
2025-04-11,GulfStar North,Third-Party Risk,135,High,Remediation Open
2025-05-18,GulfStar Community,Excess Access,138,Moderate,Closed
2025-07-10,GulfStar North,Excess Access,131,Low,Closed
2026-07-24,GulfStar Community,Misdirected Communication,191,Moderate,Closed
2025-06-01,GulfStar Community,Excess Access,293,Low,Closed
2026-06-04,GulfStar Medical Center,Misdirected Communication,147,Low,Closed
2026-01-20,GulfStar North,Third-Party Risk,328,Moderate,Closed
2025-06-24,GulfStar Community,Third-Party Risk,231,Moderate,Closed
2025-09-24,GulfStar Community,Excess Access,200,Moderate,Monitoring
2026-06-02,GulfStar North,Excess Access,339,Moderate,Closed
2026-05-31,GulfStar North,Misdirected Communication,123,High,Closed
2026-05-03,GulfStar Medical Center,Excess Access,206,Moderate,Monitoring
2026-07-14,GulfStar Medical Center,Misdirected Communication,182,Low,Closed
2025-11-26,GulfStar North,Third-Party Risk,100,Low,Closed
2025-09-22,GulfStar North,Excess Access,184,Low,Monitoring
2026-02-18,GulfStar North,Excess Access,49,Moderate,Closed
2025-08-09,GulfStar Community,Excess Access,125,Moderate,Closed
2025-06-03,GulfStar Community,Misdirected Communication,303,Low,Closed
2025-05-09,GulfStar North,Excess Access,317,Low,Closed
2025-10-16,GulfStar Medical Center,Excess Access,245,Low,Closed
2025-08-07,GulfStar Community,Third-Party Risk,151,Low,Closed
2025-01-18,GulfStar North,Excess Access,254,Low,Closed
2026-04-09,GulfStar Community,Excess Access,181,Low,Closed
2025-07-11,GulfStar North,Third-Party Risk,74,Low,Closed
2026-07-30,GulfStar Medical Center,Minimum Necessary,165,Low,Closed
2025-05-18,GulfStar Community,Minimum Necessary,210,Low,Closed
2025-07-09,GulfStar North,Minimum Necessary,61,Low,Closed
2025-10-17,GulfStar Medical Center,Minimum Necessary,58,Low,Closed
2025-09-05,GulfStar North,Excess Access,45,Moderate,Remediation Open
2025-12-04,GulfStar Community,Minimum Necessary,170,Low,Closed
2025-12-03,GulfStar North,Minimum Necessary,261,Moderate,Closed
2025-08-30,GulfStar Community,Misdirected Communication,228,Moderate,Closed
2026-05-03,GulfStar Medical Center,Excess Access,197,Low,Monitoring
2025-12-09,GulfStar North,Excess Access,145,Low,Closed
2025-07-23,GulfStar Medical Center,Excess Access,109,Moderate,Closed
2026-05-02,GulfStar Community,Minimum Necessary,31,Low,Closed
2026-05-21,GulfStar Community,Excess Access,44,Low,Closed
2025-12-05,GulfStar Medical Center,Excess Access,181,Moderate,Closed
2025-08-08,GulfStar Community,Misdirected Communication,49,Low,Closed
2026-01-21,GulfStar Community,Excess Access,209,Low,Closed
2026-03-06,GulfStar North,Misdirected Communication,181,Low,Closed
2026-04-09,GulfStar North,Misdirected Communication,58,Moderate,Closed
2025-06-29,GulfStar North,Minimum Necessary,260,Moderate,Closed
2025-04-27,GulfStar North,Misdirected Communication,292,Low,Closed
2026-05-16,GulfStar North,Unencrypted Device,131,High,Closed
2026-02-09,GulfStar North,Excess Access,27,Low,Closed
2026-03-26,GulfStar Community,Excess Access,335,Low,Closed
2025-05-27,GulfStar Medical Center,Excess Access,200,High,Closed
2025-06-16,GulfStar North,Excess Access,203,Low,Remediation Open
2025-09-01,GulfStar North,Excess Access,339,Moderate,Monitoring
2025-01-16,GulfStar Community,Minimum Necessary,124,Low,Monitoring
2025-09-05,GulfStar Medical Center,Misdirected Communication,132,Low,Monitoring
2025-06-29,GulfStar Community,Minimum Necessary,41,Moderate,Remediation Open
2025-07-11,GulfStar North,Excess Access,206,Low,Closed
2026-05-06,GulfStar Medical Center,Misdirected Communication,14,Moderate,Closed
2026-05-08,GulfStar Community,Excess Access,134,Low,Remediation Open
2025-07-31,GulfStar Medical Center,Unencrypted Device,74,Moderate,Closed
2026-02-17,GulfStar Community,Excess Access,190,High,Monitoring
2025-04-20,GulfStar North,Third-Party Risk,239,Low,Monitoring
2026-01-13,GulfStar Medical Center,Misdirected Communication,153,Low,Closed
2025-05-27,GulfStar North,Misdirected Communication,18,Moderate,Closed
2025-08-22,GulfStar Community,Minimum Necessary,194,Low,Closed
2025-11-01,GulfStar Community,Misdirected Communication,95,Low,Remediation Open
2026-01-15,GulfStar North,Excess Access,77,Low,Closed
2025-11-09,GulfStar Medical Center,Misdirected Communication,158,Moderate,Monitoring
2026-03-29,GulfStar Medical Center,Misdirected Communication,108,High,Closed
2026-06-19,GulfStar North,Excess Access,90,High,Closed
2025-08-09,GulfStar Community,Minimum Necessary,197,Moderate,Monitoring
2026-05-08,GulfStar Medical Center,Third-Party Risk,9,Moderate,Monitoring
2025-05-28,GulfStar Medical Center,Misdirected Communication,168,Low,Monitoring
2026-07-06,GulfStar Medical Center,Minimum Necessary,286,High,Closed
2025-01-22,GulfStar North,Third-Party Risk,223,Moderate,Closed
2025-01-29,GulfStar Medical Center,Misdirected Communication,284,Moderate,Closed
2026-07-27,GulfStar Community,Third-Party Risk,305,Low,Closed
2026-08-01,GulfStar Medical Center,Excess Access,133,Low,Closed
2026-07-12,GulfStar Medical Center,Third-Party Risk,79,Moderate,Remediation Open
2026-02-04,GulfStar North,Excess Access,44,Low,Closed
2025-01-27,GulfStar Medical Center,Minimum Necessary,111,Moderate,Closed
2025-03-23,GulfStar Medical Center,Excess Access,82,Moderate,Closed
2026-05-05,GulfStar North,Minimum Necessary,221,High,Closed
2025-03-07,GulfStar Community,Excess Access,314,Moderate,Remediation Open
2025-12-03,GulfStar North,Excess Access,204,Low,Monitoring
2025-12-16,GulfStar North,Excess Access,50,Low,Monitoring
2025-10-29,GulfStar Medical Center,Minimum Necessary,121,Low,Closed
2025-01-29,GulfStar North,Unencrypted Device,154,High,Closed
2025-10-24,GulfStar North,Excess Access,73,Low,Closed
2025-10-31,GulfStar Community,Excess Access,18,Low,Closed
2026-06-03,GulfStar Medical Center,Excess Access,329,Low,Closed
2025-04-20,GulfStar North,Misdirected Communication,55,Moderate,Monitoring
2026-08-02,GulfStar North,Minimum Necessary,92,Low,Monitoring
2026-05-14,GulfStar Community,Excess Access,186,High,Monitoring
2025-10-09,GulfStar Medical Center,Misdirected Communication,246,High,Closed
2025-05-20,GulfStar North,Excess Access,88,Moderate,Remediation Open
2026-07-02,GulfStar Community,Excess Access,333,Low,Closed
2025-01-28,GulfStar Community,Third-Party Risk,133,Moderate,Closed
2026-02-15,GulfStar Medical Center,Excess Access,5,Low,Closed
2025-03-08,GulfStar Medical Center,Misdirected Communication,307,Low,Closed
2025-11-28,GulfStar Community,Third-Party Risk,159,Low,Closed
2026-07-03,GulfStar North,Excess Access,79,Low,Closed
2025-12-27,GulfStar Community,Misdirected Communication,56,Moderate,Closed
2026-04-25,GulfStar Medical Center,Misdirected Communication,264,Low,Closed
2026-01-05,GulfStar Community,Minimum Necessary,148,Moderate,Closed
2026-06-26,GulfStar Medical Center,Minimum Necessary,248,Low,Closed
2025-11-29,GulfStar North,Minimum Necessary,213,Low,Closed
2025-10-19,GulfStar North,Misdirected Communication,331,Moderate,Closed
2025-08-24,GulfStar Community,Misdirected Communication,217,Moderate,Closed
2026-05-06,GulfStar North,Minimum Necessary,118,Low,Monitoring
2025-09-21,GulfStar Community,Misdirected Communication,101,Low,Closed
2025-05-16,GulfStar Medical Center,Minimum Necessary,190,Moderate,Closed
2025-02-05,GulfStar Community,Excess Access,6,Low,Monitoring
2026-08-07,GulfStar Medical Center,Misdirected Communication,279,Low,Closed
2025-01-21,GulfStar Community,Minimum Necessary,303,Moderate,Closed
2026-01-20,GulfStar Community,Misdirected Communication,175,Low,Closed
2026-05-15,GulfStar North,Excess Access,102,Low,Closed
2025-11-07,GulfStar Community,Excess Access,143,Low,Closed
2025-10-12,GulfStar Medical Center,Third-Party Risk,291,Moderate,Closed
2026-01-08,GulfStar Community,Third-Party Risk,275,Moderate,Closed
2026-04-18,GulfStar Medical Center,Excess Access,2,Low,Closed
2025-08-16,GulfStar North,Misdirected Communication,323,Low,Remediation Open
2025-12-09,GulfStar Medical Center,Unencrypted Device,111,Low,Closed
2026-07-21,GulfStar Community,Excess Access,213,Low,Remediation Open
2026-01-05,GulfStar North,Excess Access,41,Low,Closed
2025-01-08,GulfStar Medical Center,Third-Party Risk,147,Moderate,Closed
2025-10-07,GulfStar Community,Minimum Necessary,165,Moderate,Closed
2025-05-12,GulfStar Community,Third-Party Risk,220,Low,Closed
2026-07-02,GulfStar Community,Misdirected Communication,157,High,Closed
2025-04-09,GulfStar Community,Misdirected Communication,154,Moderate,Closed
2026-06-22,GulfStar North,Misdirected Communication,47,Moderate,Closed
2025-10-07,GulfStar Medical Center,Excess Access,348,Moderate,Monitoring
2025-08-17,GulfStar Medical Center,Misdirected Communication,187,Low,Closed
2025-05-07,GulfStar Medical Center,Minimum Necessary,244,Low,Closed
2025-02-02,GulfStar Community,Third-Party Risk,306,Low,Closed
2026-04-16,GulfStar North,Excess Access,67,High,Closed
2026-05-31,GulfStar North,Excess Access,78,Moderate,Remediation Open
2025-10-20,GulfStar North,Minimum Necessary,17,Low,Closed
2025-03-26,GulfStar Community,Minimum Necessary,281,Low,Closed
2025-05-04,GulfStar Community,Excess Access,10,Low,Monitoring
2026-07-06,GulfStar North,Misdirected Communication,63,Low,Closed
2026-02-06,GulfStar Medical Center,Misdirected Communication,133,Low,Closed
2025-04-23,GulfStar North,Minimum Necessary,27,Low,Monitoring
2025-07-15,GulfStar Medical Center,Excess Access,202,Low,Closed
2026-04-20,GulfStar Community,Misdirected Communication,161,Low,Remediation Open
2025-05-04,GulfStar Medical Center,Misdirected Communication,219,Moderate,Monitoring
2025-03-27,GulfStar Medical Center,Minimum Necessary,308,Low,Closed
2026-02-11,GulfStar North,Excess Access,341,Low,Closed
2026-06-24,GulfStar North,Misdirected Communication,166,High,Closed
2025-06-01,GulfStar North,Unencrypted Device,184,Low,Closed
2025-02-16,GulfStar North,Excess Access,19,Moderate,Closed
2025-05-16,GulfStar Medical Center,Unencrypted Device,113,Moderate,Closed
2025-08-26,GulfStar North,Excess Access,76,Low,Closed
2025-06-29,GulfStar North,Third-Party Risk,209,Moderate,Monitoring
2025-12-15,GulfStar Medical Center,Excess Access,209,Moderate,Closed
2025-06-14,GulfStar Community,Excess Access,97,Low,Closed
2026-06-26,GulfStar Community,Excess Access,141,Moderate,Closed
2025-01-04,GulfStar Community,Minimum Necessary,64,Low,Closed
2025-07-25,GulfStar Community,Excess Access,283,High,Closed
2025-03-11,GulfStar Community,Minimum Necessary,170,Low,Closed
2025-05-05,GulfStar Medical Center,Misdirected Communication,234,Moderate,Closed
2025-06-05,GulfStar North,Excess Access,28,Low,Monitoring
2025-06-25,GulfStar Community,Excess Access,194,Low,Monitoring
2025-03-11,GulfStar Community,Excess Access,256,Low,Closed
2026-01-24,GulfStar Medical Center,Misdirected Communication,240,Moderate,Monitoring
2025-06-01,GulfStar Community,Minimum Necessary,266,Moderate,Closed
2025-11-24,GulfStar North,Misdirected Communication,17,Moderate,Closed
2026-05-07,GulfStar Community,Misdirected Communication,113,High,Closed
2026-04-06,GulfStar Community,Excess Access,261,Low,Remediation Open
2025-03-11,GulfStar Medical Center,Excess Access,197,Low,Closed
2026-06-10,GulfStar North,Misdirected Communication,136,Low,Closed
2026-02-25,GulfStar Medical Center,Excess Access,318,Low,Remediation Open
2025-02-07,GulfStar North,Misdirected Communication,344,Low,Monitoring
2025-09-16,GulfStar Medical Center,Third-Party Risk,111,High,Closed
2025-06-19,GulfStar Medical Center,Excess Access,53,Low,Closed
2025-07-04,GulfStar North,Excess Access,288,Low,Closed
2026-07-19,GulfStar Medical Center,Misdirected Communication,98,Moderate,Closed
2025-04-16,GulfStar Medical Center,Minimum Necessary,71,Low,Closed
2025-11-28,GulfStar Medical Center,Minimum Necessary,289,Moderate,Closed
2026-03-15,GulfStar Community,Third-Party Risk,260,Moderate,Closed
2025-08-30,GulfStar North,Excess Access,187,Low,Closed
2026-02-04,GulfStar Medical Center,Minimum Necessary,326,Low,Closed
2026-03-19,GulfStar Medical Center,Unencrypted Device,39,Moderate,Monitoring
2026-04-11,GulfStar North,Excess Access,189,Low,Monitoring
2025-12-10,GulfStar Medical Center,Excess Access,254,High,Closed
2025-09-02,GulfStar Community,Third-Party Risk,47,Low,Closed
2025-08-27,GulfStar Community,Misdirected Communication,278,Low,Closed
2025-04-29,GulfStar Medical Center,Unencrypted Device,340,High,Closed
2025-12-21,GulfStar Medical Center,Third-Party Risk,127,Low,Closed
2025-10-28,GulfStar Medical Center,Misdirected Communication,179,Low,Closed
2025-11-18,GulfStar Medical Center,Excess Access,168,Low,Monitoring
2026-01-22,GulfStar Community,Minimum Necessary,337,Low,Closed
2025-06-04,GulfStar Medical Center,Excess Access,144,Low,Monitoring
2026-02-01,GulfStar Medical Center,Excess Access,81,Moderate,Closed
2026-03-13,GulfStar Community,Misdirected Communication,182,Low,Closed
2026-03-23,GulfStar Medical Center,Excess Access,240,Moderate,Closed
2025-05-10,GulfStar North,Third-Party Risk,179,Moderate,Closed
2025-05-28,GulfStar Community,Third-Party Risk,3,High,Closed
2025-03-20,GulfStar North,Third-Party Risk,45,Moderate,Closed
2025-08-26,GulfStar North,Misdirected Communication,21,Low,Closed
2025-03-26,GulfStar Medical Center,Minimum Necessary,170,Moderate,Closed
2025-09-28,GulfStar North,Excess Access,281,Low,Remediation Open
2026-06-30,GulfStar Medical Center,Misdirected Communication,269,High,Monitoring
2026-01-11,GulfStar Medical Center,Misdirected Communication,205,Low,Closed
2025-06-13,GulfStar Medical Center,Misdirected Communication,283,Low,Closed
2025-03-23,GulfStar North,Minimum Necessary,258,Moderate,Closed
2026-05-09,GulfStar Community,Excess Access,175,Moderate,Closed
2025-07-21,GulfStar North,Excess Access,75,Moderate,Closed
2026-05-07,GulfStar North,Minimum Necessary,2,Moderate,Closed
2025-11-03,GulfStar Community,Excess Access,178,Moderate,Closed
2025-08-09,GulfStar North,Excess Access,41,Moderate,Closed
2025-05-14,GulfStar Community,Minimum Necessary,323,Moderate,Closed
2025-02-28,GulfStar Medical Center,Third-Party Risk,274,Moderate,Closed
2025-11-28,GulfStar North,Unencrypted Device,108,Moderate,Closed
2025-09-27,GulfStar Medical Center,Excess Access,319,Moderate,Closed
2025-07-27,GulfStar Medical Center,Third-Party Risk,277,High,Monitoring
2026-03-11,GulfStar Community,Excess Access,330,Moderate,Closed
2026-06-13,GulfStar Medical Center,Excess Access,317,Moderate,Remediation Open
2026-07-18,GulfStar North,Excess Access,146,Moderate,Remediation Open
2025-12-04,GulfStar Community,Third-Party Risk,268,Low,Monitoring
2025-01-03,GulfStar North,Third-Party Risk,302,Low,Closed
2026-04-13,GulfStar Medical Center,Minimum Necessary,209,Moderate,Closed
2025-07-23,GulfStar Community,Misdirected Communication,267,Low,Remediation Open
2025-08-11,GulfStar Medical Center,Misdirected Communication,183,Moderate,Closed
2026-06-11,GulfStar North,Excess Access,195,High,Closed
2025-08-21,GulfStar North,Excess Access,166,Low,Closed
2026-02-12,GulfStar North,Misdirected Communication,81,Moderate,Monitoring
2025-02-22,GulfStar Medical Center,Minimum Necessary,311,Low,Remediation Open
2025-02-07,GulfStar Medical Center,Unencrypted Device,168,Moderate,Monitoring
2026-07-19,GulfStar North,Excess Access,282,Moderate,Closed
2026-01-09,GulfStar Community,Misdirected Communication,16,High,Monitoring
2025-03-19,GulfStar Medical Center,Minimum Necessary,252,Moderate,Closed
2025-08-09,GulfStar Medical Center,Misdirected Communication,120,Low,Closed
2026-02-21,GulfStar Medical Center,Misdirected Communication,318,Moderate,Closed
2025-07-05,GulfStar Community,Misdirected Communication,209,Low,Closed
2025-03-14,GulfStar North,Excess Access,161,Low,Closed
2025-12-31,GulfStar North,Excess Access,271,Low,Closed
2026-07-07,GulfStar Community,Misdirected Communication,50,Low,Closed
2025-02-23,GulfStar Medical Center,Excess Access,144,Low,Closed
2025-01-03,GulfStar Medical Center,Minimum Necessary,18,Moderate,Closed
2025-02-12,GulfStar North,Minimum Necessary,86,Low,Monitoring
2026-04-01,GulfStar Medical Center,Misdirected Communication,271,Low,Closed
2025-04-16,GulfStar North,Misdirected Communication,103,High,Closed
2025-01-01,GulfStar Community,Excess Access,60,Low,Remediation Open
2025-04-15,GulfStar North,Third-Party Risk,259,Moderate,Closed
2025-02-08,GulfStar North,Minimum Necessary,293,Moderate,Closed
2025-05-10,GulfStar North,Third-Party Risk,205,High,Closed
2025-10-06,GulfStar Community,Misdirected Communication,18,Low,Closed
2025-06-19,GulfStar Medical Center,Excess Access,329,Low,Closed
2025-12-26,GulfStar North,Minimum Necessary,243,Low,Closed
2025-05-28,GulfStar Community,Third-Party Risk,125,Low,Closed
2025-02-03,GulfStar North,Misdirected Communication,301,Moderate,Closed
2025-10-22,GulfStar Medical Center,Excess Access,104,Low,Closed
2026-03-10,GulfStar Medical Center,Excess Access,37,Low,Closed
2026-05-02,GulfStar Community,Excess Access,50,High,Remediation Open
2026-03-21,GulfStar Community,Third-Party Risk,287,Low,Closed
2026-08-03,GulfStar Community,Third-Party Risk,226,Low,Closed
2025-01-13,GulfStar Medical Center,Excess Access,210,Low,Closed
2026-07-06,GulfStar Medical Center,Third-Party Risk,72,Moderate,Closed
2025-07-09,GulfStar Medical Center,Excess Access,149,Moderate,Closed
2026-08-01,GulfStar North,Third-Party Risk,271,Moderate,Closed
2025-11-27,GulfStar Medical Center,Excess Access,109,Low,Remediation Open
2025-03-13,GulfStar Community,Misdirected Communication,77,Moderate,Closed
2025-12-13,GulfStar Community,Misdirected Communication,293,Low,Closed
2025-12-02,GulfStar Medical Center,Excess Access,103,Moderate,Remediation Open
2025-06-20,GulfStar Community,Unencrypted Device,142,Moderate,Closed
2025-08-25,GulfStar North,Excess Access,165,Moderate,Closed
2025-11-11,GulfStar Community,Third-Party Risk,324,Low,Closed
2025-10-28,GulfStar Community,Unencrypted Device,160,Low,Closed
2026-02-04,GulfStar Community,Excess Access,117,Moderate,Closed
2025-01-09,GulfStar Medical Center,Third-Party Risk,196,Low,Remediation Open
2026-01-12,GulfStar Community,Excess Access,286,Low,Closed
2025-05-07,GulfStar Community,Minimum Necessary,179,Moderate,Monitoring
2026-04-17,GulfStar Medical Center,Minimum Necessary,265,Moderate,Monitoring
2025-11-28,GulfStar Medical Center,Minimum Necessary,73,Low,Remediation Open
2025-11-07,GulfStar Community,Excess Access,133,Low,Closed
2025-06-20,GulfStar North,Excess Access,322,Moderate,Closed
2025-07-15,GulfStar North,Excess Access,204,Low,Closed
2025-11-30,GulfStar North,Excess Access,81,Low,Remediation Open
2025-01-19,GulfStar North,Minimum Necessary,229,Moderate,Remediation Open
2026-02-02,GulfStar Community,Minimum Necessary,200,High,Monitoring
2026-07-29,GulfStar Medical Center,Unencrypted Device,311,Low,Closed
2026-01-28,GulfStar North,Excess Access,247,Low,Remediation Open
2025-03-28,GulfStar Community,Third-Party Risk,205,Moderate,Closed
2026-03-07,GulfStar Community,Third-Party Risk,263,Low,Closed
2025-10-27,GulfStar Medical Center,Excess Access,196,Low,Closed
2025-10-30,GulfStar Medical Center,Misdirected Communication,132,Low,Monitoring
2025-02-05,GulfStar North,Misdirected Communication,195,Low,Closed
2025-05-15,GulfStar Community,Excess Access,214,Moderate,Closed
2025-10-20,GulfStar Medical Center,Misdirected Communication,76,Moderate,Closed
2025-09-05,GulfStar Medical Center,Excess Access,11,Moderate,Closed
2025-07-17,GulfStar Medical Center,Misdirected Communication,21,Low,Monitoring
2025-12-23,GulfStar North,Minimum Necessary,235,Moderate,Closed
2026-03-30,GulfStar Medical Center,Minimum Necessary,144,Moderate,Closed
2025-07-17,GulfStar North,Unencrypted Device,262,Low,Closed
2025-01-19,GulfStar Medical Center,Excess Access,317,Low,Closed
2025-09-10,GulfStar North,Unencrypted Device,87,Low,Monitoring
2025-08-01,GulfStar Community,Third-Party Risk,28,Moderate,Closed
2025-02-08,GulfStar North,Excess Access,164,Moderate,Monitoring
2026-05-25,GulfStar Medical Center,Excess Access,295,Moderate,Closed
2025-03-22,GulfStar Medical Center,Excess Access,86,Low,Closed
2025-10-15,GulfStar North,Third-Party Risk,103,Low,Closed
2025-06-02,GulfStar Community,Excess Access,72,Moderate,Remediation Open
2025-09-29,GulfStar Community,Excess Access,157,Low,Closed
2025-11-18,GulfStar Medical Center,Unencrypted Device,345,Moderate,Closed
2025-11-22,GulfStar North,Third-Party Risk,294,Low,Closed
2026-02-11,GulfStar Community,Excess Access,309,Low,Closed
2026-05-21,GulfStar Medical Center,Excess Access,124,Moderate,Closed
2026-05-03,GulfStar North,Excess Access,131,Low,Closed
2025-12-04,GulfStar Medical Center,Excess Access,217,Moderate,Monitoring
2025-09-05,GulfStar Community,Minimum Necessary,163,Low,Closed
2025-01-16,GulfStar Community,Excess Access,326,Moderate,Closed
2025-02-07,GulfStar Community,Misdirected Communication,44,Low,Closed
2025-09-23,GulfStar Community,Misdirected Communication,341,Moderate,Closed
2025-11-30,GulfStar Community,Misdirected Communication,304,High,Closed
2025-10-26,GulfStar North,Third-Party Risk,195,Moderate,Closed
2025-08-16,GulfStar Medical Center,Minimum Necessary,338,Moderate,Closed
2025-10-13,GulfStar North,Unencrypted Device,43,Low,Closed
2025-06-29,GulfStar Medical Center,Excess Access,158,Moderate,Closed
2026-03-22,GulfStar Community,Excess Access,198,Low,Closed
2026-03-05,GulfStar North,Minimum Necessary,117,Low,Remediation Open
2026-02-13,GulfStar Medical Center,Misdirected Communication,211,Low,Closed
2026-07-21,GulfStar Medical Center,Unencrypted Device,230,Moderate,Monitoring
2025-04-15,GulfStar Medical Center,Third-Party Risk,23,Moderate,Closed
2025-11-20,GulfStar North,Misdirected Communication,246,Low,Remediation Open
2025-12-26,GulfStar Community,Excess Access,116,Low,Monitoring
2026-07-23,GulfStar Community,Misdirected Communication,134,Low,Closed
2026-07-20,GulfStar North,Misdirected Communication,313,Low,Monitoring
2026-01-19,GulfStar Medical Center,Minimum Necessary,289,Low,Closed
